Timestamp,What is your age group?,What is your highest level of education?,What is your current occupation?,Which state/city do you currently live in?,How often do you currently practice recycling or waste segregation at home?,Do you have access to formal recycling or waste collection infrastructure in your locality?,What type of area do you live in?,I am very concerned about the current state of the environment in India.,I believe that environmental pollution caused by improper waste disposal is a serious problem.,I feel that humans are severely abusing the environment.,The increasing amount of waste and garbage in my city worries me.,I believe that protecting the environment is one of the most urgent issues of our time.,"I am aware of what ""circular economy"" or ""zero waste"" means in everyday life.","I am aware of government schemes in India that promote recycling (e.g., Swachh Bharat Mission, Extended Producer Responsibility rules).","I know how to properly segregate waste into categories like dry, wet, and hazardous.",I have seen or heard government campaigns that encourage people to recycle in the last 6 months.,I understand what happens to my waste after it is collected from my home.,"If I received cash rewards or discounts for returning recyclable items, I would do it more regularly.",Government subsidies or reduced utility bills for households that recycle would motivate me to recycle more.,Financial penalties (fines) for not segregating waste would make me more likely to separate my waste properly.,"If there were monetary benefits linked to returning e-waste (old phones, batteries) properly, I would actively participate.",I think a deposit-refund system (where you pay extra when buying and get it back when you return the package) would increase my recycling behavior.,I am worried that recycling apps or government waste-tracking systems would collect too much personal data about me.,I would hesitate to register on a government recycling platform because of concerns about how my data would be used.,I do not trust that my personal information shared on recycling apps would remain private.,"The requirement to provide personal details (address, phone number) to access recycling services concerns me.",I feel that using smart waste-bin systems that track which household generates what waste is an invasion of my privacy.,I think recycling is a good habit to practice regularly.,Segregating and recycling waste is a worthwhile activity.,I have a positive attitude towards policies that promote circular economy practices in India.,I believe recycling contributes meaningfully to solving environmental problems in India.,I feel proud when I recycle or properly dispose of my waste.,I have the knowledge and skills needed to segregate and recycle waste correctly.,Recycling is something that is easy for me to do given where I live and work.,I am confident that I could recycle regularly even if there were minor inconveniences involved.,"The infrastructure available in my area (bins, collection points) makes it possible for me to recycle easily.",I feel that whether or not I recycle is entirely within my control.,I intend to recycle or properly segregate my waste regularly in the next 3 months.,I plan to increase my recycling activities in the coming months.,I would actively participate in a government recycling program if one were launched in my area.,I am willing to make extra effort to find proper recycling facilities rather than throwing recyclable items in regular bins.,"I will recommend recycling practices to people around me (family, friends, neighbors)."
5/1/2026 17:44:15,25 - 34,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,3,5,4,3,3,4,4,4,4,4,3,3,3,3,2,4,4,4,4,4,4,2,2,4,3,3,3,3,4,3
5/1/2026 17:44:42,35 - 44,Undergraduate (completed),Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,3,3,3,4,3,4,4,3,4,3,2,2,3,2,2,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3
5/1/2026 17:59:05,45 - 60,Postgraduate,Employed (government),Bhopal,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,3,2,3,3,3,2,2,2,2,2,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
5/1/2026 18:01:15,18 - 24,Undergraduate (pursuing),Self-employed,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,4,4,4,5,4,5,5,5,5,4,3,4,3,3,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4
5/1/2026 21:33:24,25 - 34,Postgraduate,Employed (private sector),Delhi,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,5,5,5,5,5,3,4,3,3,4,2,2,3,2,2,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4
5/1/2026 22:14:48,25 - 34,Postgraduate,Student,Indore,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,4,4,4,3,3,3,3,3,2,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4
5/1/2026 23:22:03,35 - 44,Undergraduate (completed),Homemaker,Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,3,3,3,3,4,3,3,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
5/2/2026 0:12:17,18 - 24,High school/10+2,Homemaker,Bangalore,Rarely (a few times a year),"Yes, regularly",Urban metro city,3,3,4,4,3,3,2,3,3,3,5,5,4,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,5,4,3,3
5/2/2026 13:04:59,35 - 44,Undergraduate (completed),Homemaker,Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,5,4,5,5,4,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3
5/2/2026 19:02:07,25 - 34,Doctoral,Student,Bengaluru,Always (daily),"Yes, regularly",Urban metro city,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,2,2,2,2,2,4,4,4,3,4,3,3,3,3,3,4,3,4,3,3
5/2/2026 19:19:25,25 - 34,Undergraduate (completed),Student,Bengaluru,Always (daily),No / I am unsure,Urban metro city,4,5,5,5,4,4,4,4,5,4,4,4,4,4,4,1,2,2,2,2,5,4,5,5,4,4,4,4,4,4,4,5,4,5,5
5/2/2026 22:22:37,45 - 60,High school/10+2,Homemaker,Salem,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,2,2,3,3,3,1,2,2,2,2,2,2,3,3,2,2,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2
5/2/2026 22:22:37,18 - 24,Postgraduate,Homemaker,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,3,3,3,3,4,3,3,3,3,4,5,5,5,4,5,2,3,3,3,2,3,4,4,4,4,4,4,4,4,5,3,4,4,4,4
5/2/2026 23:13:29,45 - 60,Postgraduate,Self-employed,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,4,5,4,4,4,3,4,3,3,3,4,3,3,4,3,2,3,3,3,4,4,3,3,4,3,2,2,3,3,5,5,4,5,4
5/3/2026 0:04:47,25 - 34,Doctoral,Self-employed,Bengaluru,Never,"Yes, but inconsistently",Urban metro city,4,4,3,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,3,4
5/3/2026 2:18:01,25 - 34,Undergraduate (completed),Employed (private sector),Kolkata,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,4,5,5,4,5,5,4,4,4,4,3,2,2,2,2,2,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
5/3/2026 23:57:08,35 - 44,Undergraduate (completed),Self-employed,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,3,3,3,4,3,3,3,3,3,5,5,5,5,5,2,2,2,2,2,4,4,4,4,3,4,4,3,3,4,4,4,4,3,3
5/4/2026 0:00:20,45 - 60,Postgraduate,Employed (private sector),Bengaluru,Often (weekly),No / I am unsure,Urban metro city,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,3,3,2,3,2,4,4,3,3,5,3,4,3,2,2,4,4,4,4,4
5/4/2026 0:21:53,35 - 44,Undergraduate (completed),Student,Vadodara,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,3,3,3,3,3,3,2,2,4,4,4,3,4,3,3,3,3,3,4,4,5,4,4,3,4,2,3,3,3,4,4,4,3
5/4/2026 0:45:28,18 - 24,Undergraduate (completed),Student,Rajkot,Always (daily),"Yes, but inconsistently",Urban tier-2 city,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,1,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4
5/4/2026 10:26:38,18 - 24,Undergraduate (completed),Student,Hubli,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,5,4,3,3,3,2,2,2,2,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3
5/4/2026 11:09:50,25 - 34,Doctoral,Student,Guwahati,Sometimes (about once a month),"Yes, but inconsistently",Semi-urban/town,4,4,4,3,4,4,5,5,5,5,4,4,4,4,3,2,1,1,1,2,5,4,4,5,5,5,4,5,4,5,5,5,5,5,4
5/4/2026 13:50:49,Above,Doctoral,Employed (private sector),Mangalore,Always (daily),"Yes, but inconsistently",Semi-urban/town,3,4,3,3,3,3,3,2,3,3,4,5,4,4,4,4,4,3,4,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3
5/4/2026 13:53:04,45 - 60,Undergraduate (completed),Homemaker,Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,3,3,3,3,3,2,3,3,3,2,4,3,3,4,4,3,4,2,3,3,4,4,4,3,4,3,2,2,3,2,3,3,3,3,3
5/4/2026 17:18:57,45 - 60,Undergraduate (completed),Homemaker,Rajkot,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,3,3,2,2,2,2,2,2,3,3,3,4,3,4,2,3,3,3,2,3,3,3,3,4,1,2,2,2,2,3,3,3,3,3
5/4/2026 17:20:40,35 - 44,Undergraduate (completed),Employed (private sector),Bengaluru,Often (weekly),"Yes, but inconsistently",Urban metro city,4,3,4,4,4,4,4,5,5,4,4,4,4,3,4,3,2,2,3,2,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5
5/4/2026 17:36:34,45 - 60,Postgraduate,Self-employed,Rajkot,Often (weekly),No / I am unsure,Urban tier-2 city,3,3,3,3,2,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,3,2,3,3,2,2,2,2,2,2,3,3,2,3,2
5/4/2026 17:40:03,18 - 24,High school/10+2,Homemaker,Delhi,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,3,3,3,2,2,1,2,2,2,2,2,2,1,2
5/4/2026 17:42:17,45 - 60,Postgraduate,Employed (private sector),Pune,Sometimes (about once a month),No / I am unsure,Urban metro city,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,2,3,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3
5/4/2026 18:43:15,35 - 44,Undergraduate (completed),Employed (private sector),Rajkot,Often (weekly),"Yes, regularly",Urban tier-2 city,4,5,4,4,5,5,5,5,5,4,3,3,3,3,3,2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
5/4/2026 18:45:51,25 - 34,Doctoral,Employed (government),Thiruvananthapuram,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,4,4,4,5,4,5,4,5,3,4,3,3,3,2,2,2,2,2,5,5,5,4,4,5,5,5,5,5,5,4,5,4,4
5/4/2026 18:51:19,45 - 60,High school/10+2,Homemaker,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,3,3,3,2,2,3,3,3,2,3,4,3,4,3,2,2,2,3,2,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3
5/4/2026 18:57:08,25 - 34,Undergraduate (completed),Homemaker,Nagpur,Never,"Yes, regularly",Urban tier-2 city,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,3,3,4,3,4,3,4,4,3,4,3,4,4
5/4/2026 19:14:20,25 - 34,Undergraduate (completed),Self-employed,Kochi,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,4,4,4,4,4,4,3,4,3,3,5,4,5,5,5,2,3,3,2,3,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4
5/4/2026 21:41:16,35 - 44,Doctoral,Employed (private sector),Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,5,4,4,4,3,2,2,3,3,3,3,3,3,2,3,3,3,2,3
5/5/2026 20:53:14,18 - 24,Undergraduate (pursuing),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,3,3,3,3,3,4,4,3,3,4,4,4,4,4,2,3,3,2,3,3,3,3,4,4,3,3,4,3,3,4,4,4,4,3
5/5/2026 23:04:39,45 - 60,Postgraduate,Employed (private sector),Bengaluru,Always (daily),"Yes, regularly",Urban metro city,3,3,3,3,3,3,3,3,2,3,4,4,4,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,4,3,4,3
5/5/2026 23:58:22,35 - 44,Undergraduate (pursuing),Homemaker,Rajkot,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,3,5,4,4,3,3,3,3,3,3,3,3,3,2,5,4,3,5,4,3,3,4,4,4,3,3,2,3,2,3,3,3,4,3
5/6/2026 0:01:09,18 - 24,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,4,3,3,3,3,4,4,5,5,4,5,5,3,2,2,3,2,4,4,3,4,4,3,4,3,3,3,3,3,3,4,3
5/6/2026 0:04:58,45 - 60,Doctoral,Self-employed,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,3,3,4,3,3,3,3,2,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,5,4
5/6/2026 21:23:52,45 - 60,Postgraduate,Unemployed,Meerut,Never,No / I am unsure,Semi-urban/town,2,2,2,2,1,2,1,2,2,2,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
5/6/2026 21:30:47,Above,Undergraduate (completed),Employed (private sector),Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,3,3,4,3,3,3,3,3,3,3,5,4,5,5,5,3,2,2,3,2,3,3,4,4,4,4,3,3,3,4,4,4,4,4,3
5/6/2026 22:33:17,18 - 24,Undergraduate (pursuing),Student,Bengaluru,Always (daily),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,2,1,2,5,5,5,5,5,4,4,4,4,3,5,5,5,5,5
5/7/2026 12:26:25,35 - 44,Undergraduate (completed),Employed (government),Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,4,4,3,4,4,3,3,3,3,3,4,3,4,4,4,3,4,3,2,3,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3
5/7/2026 12:28:58,35 - 44,Doctoral,Student,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,3,3,3,4,4,3,3,4,4,4,5,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3
5/7/2026 12:33:30,35 - 44,Postgraduate,Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,4,3,4,3,2,3,3,3,2,4,5,4,4,4,1,2,2,2,2,5,4,5,5,5,3,4,3,3,3,3,4,4,3,4
5/7/2026 12:43:33,25 - 34,Undergraduate (completed),Self-employed,Bengaluru,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,5,5,5,5,5,4,4,3,4,4,4,2,2,2,2,2,4,5,4,5,4,5,5,5,5,5,4,4,5,5,5
5/7/2026 13:55:03,45 - 60,Undergraduate (completed),Employed (private sector),Chandigarh,Never,"Yes, but inconsistently",Urban tier-2 city,2,3,2,2,2,2,3,2,3,2,2,3,2,3,3,1,2,2,2,3,2,2,3,3,2,2,2,2,2,1,2,2,1,2,2
5/7/2026 20:34:53,25 - 34,Undergraduate (completed),Employed (government),Lucknow,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,3,4,4,4,3,5,4,4,4,5,4,4,4,4,4,2,3,3,2,2,3,4,3,3,4,3,3,3,3,3
5/7/2026 21:12:00,25 - 34,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,2,3,4,3,3,3,4,3,3,3,3,3,4,3,3,4,4
5/7/2026 21:22:36,45 - 60,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,3,4,4,3,3,3,3,4,3,5,4,4,4,4,2,2,2,3,3,4,4,5,4,4,4,4,4,4,4,4,3,3,3,3
5/7/2026 22:47:04,35 - 44,Postgraduate,Employed (private sector),Kozhikode,Always (daily),No / I am unsure,Urban tier-2 city,3,3,3,3,4,5,5,5,5,5,3,4,3,3,3,2,2,2,3,2,4,5,4,5,4,4,4,4,4,4,4,4,4,5,5
5/7/2026 23:24:38,45 - 60,Undergraduate (completed),Homemaker,Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,2,3,3,2,3,2,2,2,2,1,3,4,4,4,4,4,3,2,3,3,2,3,2,2,3,3,2,3,2,3,2,3,2,2,3
5/7/2026 23:27:25,35 - 44,Postgraduate,Employed (government),Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,4,3,3,4,3,4,4,3,5,5,5,5,5,2,2,2,2,2,4,4,4,4,4,3,3,2,3,3,4,3,3,3,3
5/8/2026 1:44:41,Above,Undergraduate (completed),Unemployed,Chennai,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,3,2,2,3,2,1,2,2,2,4,5,5,5,5,3,3,3,2,3,2,3,3,4,3,3,3,3,3,2,3,2,3,3,3
5/8/2026 13:05:06,25 - 34,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, regularly",Urban metro city,5,5,5,5,5,4,4,4,5,5,4,4,4,4,3,2,2,1,2,2,4,5,5,5,5,4,4,5,4,5,5,5,4,5,5
5/8/2026 14:46:43,25 - 34,Undergraduate (pursuing),Homemaker,Ahmedabad,Often (weekly),"Yes, but inconsistently",Urban metro city,4,5,5,5,5,5,5,4,5,5,4,4,4,4,4,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
5/9/2026 6:56:07,35 - 44,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,4,4,5,5,5,5,3,4,3,3,3,2,2,2,2,2,4,5,4,4,4,5,5,4,5,4,4,4,4,4,5
5/9/2026 6:57:55,35 - 44,Undergraduate (pursuing),Employed (private sector),Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,4,4,4,4,4,3,3,3,3,3,4,4,3,4,3,5,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,2
5/9/2026 9:00:10,25 - 34,Undergraduate (completed),Self-employed,Madurai,Rarely (a few times a year),No / I am unsure,Urban tier-2 city,4,4,4,3,4,3,3,3,4,3,3,3,3,3,4,5,4,5,5,4,3,3,3,2,3,2,2,2,3,2,3,2,3,3,3
5/9/2026 10:32:05,35 - 44,Undergraduate (completed),Unemployed,Bengaluru,Always (daily),"Yes, but inconsistently",Urban metro city,5,4,4,5,4,4,4,4,4,4,4,4,3,4,4,2,2,2,2,2,4,4,4,3,4,5,5,5,4,4,4,4,4,4,4
5/9/2026 10:34:08,18 - 24,Undergraduate (pursuing),Student,Chennai,Often (weekly),"Yes, but inconsistently",Urban metro city,5,5,4,5,4,4,4,4,4,5,4,4,4,5,4,2,2,2,2,1,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5
5/10/2026 10:30:11,25 - 34,Undergraduate (completed),Self-employed,Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,4,4,4,5,4,5
5/10/2026 22:09:29,25 - 34,Postgraduate,Self-employed,Mumbai,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
5/10/2026 22:12:03,Above,Undergraduate (completed),Employed (government),Bengaluru,Often (weekly),"Yes, but inconsistently",Urban metro city,3,4,3,2,3,3,3,2,2,1,4,4,4,4,3,3,3,2,3,2,4,2,3,3,3,2,2,2,2,3,2,3,3,3,3
5/10/2026 22:23:47,35 - 44,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,4,3,3,3,4,3,2,5,5,5,4,3,2,3,3,2,3,3,5,4,4,4,4,4,4,3,3,4,4,3,3,4
5/11/2026 1:15:45,18 - 24,Undergraduate (pursuing),Employed (private sector),Bengaluru,Often (weekly),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,2,2,1,2,2,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5
5/11/2026 1:19:26,25 - 34,High school/10+2,Homemaker,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,3,3,3,3,4,3,3,3,4,4,4,4,3,4,3,3,3,3,4
5/11/2026 1:58:35,45 - 60,Postgraduate,Self-employed,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4
5/11/2026 22:22:37,35 - 44,Undergraduate (completed),Employed (private sector),Ranchi,Always (daily),"Yes, but inconsistently",Semi-urban/town,4,3,4,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,4,5,4,4,4,3,3,3,3,3,3,3,4,4,3,3
5/11/2026 23:04:05,45 - 60,Undergraduate (completed),Homemaker,Mangalore,Often (weekly),"Yes, regularly",Urban tier-2 city,4,4,4,4,4,1,2,3,3,2,4,4,4,4,4,2,3,2,2,1,3,3,3,3,3,3,2,3,3,2,2,1,1,1,1
5/11/2026 23:06:05,18 - 24,Postgraduate,Employed (government),Jaiour,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,4,4,5,5,4,5,5,5,4,4,3,4,4,2,2,2,3,2,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4
5/11/2026 23:58:19,25 - 34,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,4,4,3,3,3,3,3,4,4,4,4,3,3,4,3,3,3,2,3,2,4,3,4,4,4,3,3,4,3,3,4,3,4,3,4
5/12/2026 1:43:03,Above,Doctoral,Employed (government),Bengaluru,Often (weekly),No / I am unsure,Urban metro city,4,3,3,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,4,3,4,3,3,3,4,4,4,3,3,4,4,4,4,4
5/12/2026 2:47:50,18 - 24,Doctoral,Employed (government),Varanasi,Always (daily),"Yes, regularly",Semi-urban/town,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,1,2,2,2,2,4,4,5,5,5,4,5,4,5,4,5,5,5,5,5
5/12/2026 2:49:51,35 - 44,Postgraduate,Employed (government),Surat,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,4,4,3,2,3,2,3,3,2,3,3,3,3,3,3,4,3
5/12/2026 2:56:28,18 - 24,Undergraduate (completed),Homemaker,Delhi,Always (daily),"Yes, regularly",Urban metro city,5,5,4,5,5,4,4,4,5,4,4,4,4,4,4,1,2,1,2,2,4,5,5,5,4,4,4,4,4,4,5,4,5,5,5
5/12/2026 3:08:41,Above,Undergraduate (completed),Self-employed,Chandigarh,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,2,1,1,1,2,4,3,4,4,3,2,1,2,2,1,2,3,3,3,3,3,3,2,2,3,2,2,3,3,2
5/12/2026 11:32:51,45 - 60,Postgraduate,Employed (private sector),Mysuru,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,4,4,4,2,3,3,3,3,3,3,4,3,4,5,4,5,4,5,2,3,3,3,3,4,3,3,3,3,3,3,3,4,3
5/13/2026 19:42:49,18 - 24,Undergraduate (pursuing),Employed (private sector),Jodhpur,Always (daily),"Yes, regularly",Semi-urban/town,5,5,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,2,2,2,2,1,5,5,5,4,5,4,5,5,4,4
5/13/2026 19:46:47,35 - 44,Postgraduate,Unemployed,Thrissur,Rarely (a few times a year),No / I am unsure,Urban tier-2 city,4,4,3,3,4,3,3,4,4,3,3,3,3,4,4,4,4,3,4,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,2
5/13/2026 22:49:35,Above,High school/10+2,Homemaker,Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,2,3,2,3,2,2,2,2,2,2,3,2,3,3,2,2,2,2,3,2,2,2,1,2,2,3,3,4,3,3,4,3,3,4,4
5/13/2026 22:50:37,35 - 44,Postgraduate,Employed (government),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,4,3,4,4,4,3,3,3,3,5,4,5,5,4,3,2,3,2,2,3,4,4,3,4,3,3,4,3,3,4,3,3,4,4
5/14/2026 11:32:42,45 - 60,Postgraduate,Employed (government),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,4,4,3,3,3,3,3,2,3,4,5,5,5,5,3,3,3,3,3,3,3,3,2,3,4,3,4,3,3,4,4,4,4,3
5/14/2026 12:08:42,45 - 60,Undergraduate (completed),Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,4,3,3,4,3,3,3,3,2,5,5,5,5,5,3,3,3,3,3,3,3,3,3,2,4,4,4,3,4,4,3,4,4,4
5/14/2026 12:11:09,18 - 24,Doctoral,Employed (private sector),Pune,Always (daily),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,4,5,5,4,5,4,4,4,4,4,2,2,2,2,2,5,4,5,5,5,4,4,3,4,4,4,4,4,5,4
5/14/2026 12:14:23,18 - 24,Undergraduate (completed),Self-employed,Patna,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,3,4,4,4,3,3,3,4,3,3,5,5,4,4,5,3,2,2,2,3,3,4,3,3,3,4,4,4,3,3,5,4,4,4,4
5/17/2026 1:20:51,18 - 24,Postgraduate,Student,Vijayawada,Often (weekly),"Yes, regularly",Urban tier-2 city,5,4,4,5,5,4,4,4,4,4,4,4,4,5,4,2,2,2,1,2,4,5,4,5,4,4,4,4,4,4,5,4,5,5,5
5/20/2026 18:29:44,35 - 44,Doctoral,Self-employed,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,3,3,3,3,3,4,3,3,3,4,3,3,4,4,2,2,2,3,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,4
6/1/2026 0:31:55,45 - 60,Undergraduate (completed),Employed (government),Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,3,3,4,3,2,3,3,3,3,4,3,4,3
6/1/2026 0:34:34,45 - 60,Undergraduate (completed),Employed (government),Bangalore,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,3,4,3,3,3,3,3,3,4,4,5,5,4,2,2,1,2,2,4,4,4,4,5,3,3,3,3,3,3,3,2,3,4
6/1/2026 0:44:25,25 - 34,Postgraduate,Employed (private sector),Chandigarh,Sometimes (about once a month),"Yes, regularly",Urban tier-2 city,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,5,5,4,2,3,2,2,3,2,2,3,2,2,3,2,3,2,3
6/1/2026 0:45:30,25 - 34,Undergraduate (completed),Self-employed,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,3,3,3,2,3,3,4,3,4,3,3,3,3,4,3,3,3,4,4,4,4,4,3,4,4,3,3,3,4,4,3
6/1/2026 0:49:58,35 - 44,Undergraduate (completed),Student,Kolkata,Never,No / I am unsure,Urban metro city,3,4,3,4,4,3,4,3,2,3,4,3,4,4,3,5,4,4,4,4,3,3,4,3,4,3,2,2,3,3,3,2,3,2,3
